dia,total
2018-01-31,2503
2018-02-28,1450
2018-03-31,2609
2018-04-30,1634
2018-05-31,3324
2018-06-30,5694
2018-07-31,12442
2018-08-31,22617
2018-09-30,42061
2018-10-31,19374
2018-11-30,12720
2018-12-31,4895
2019-01-31,3822
2019-02-28,2692
2019-03-31,5037
2019-04-30,2803
2019-05-31,2940
2019-06-30,7200
2019-07-31,13227
2019-08-31,51673
2019-09-30,52920
2019-10-31,25359
2019-11-30,20132
2019-12-31,7408
2020-01-31,2762
2020-02-29,2540
2020-03-31,3812
2020-04-30,4054
2020-05-31,3933
2020-06-30,7034
2020-07-31,15534
2020-08-31,46194
2020-09-30,68901
2020-10-31,41067
2020-11-30,12315
2020-12-31,4559
2021-01-31,1790
2021-02-28,1805
2021-03-31,2053
2021-04-30,2500
2021-05-31,5203
2021-06-30,6671
2021-07-31,15733
2021-08-31,50431
2021-09-30,43935
2021-10-31,24661
2021-11-30,10192
2021-12-31,2920
